,0,1,2,3,4,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,288.333526611,270.570648193,261.709381104,358.131866455,324.278198242,205.126342773,215.565826416,240.009796143,309.715698242,212.581619263,244.183900313
2,328.674591064,290.362182617,316.995574951,265.401123047,210.242889404,268.373626709,271.833953857,360.239013672,291.477539062,282.743896484,262.394944624
3,251.610153198,339.047546387,217.251922607,399.993682861,440.790100098,251.881286621,292.101043701,253.740264893,267.228149414,226.652450562,267.29969094
4,231.061248779,246.542144775,363.270080566,286.810699463,256.250823975,259.71194458,346.208587646,338.906524658,324.660247803,178.271331787,257.426694003
5,286.086761475,297.007049561,380.540649414,312.037841797,328.786956787,301.423828125,360.819610596,326.379333496,278.701263428,281.044586182,286.620716442
6,226.506896973,366.336608887,284.69329834,247.920791626,203.043869019,283.854736328,367.746887207,316.253875732,251.65637207,235.338302612,253.031967163
7,296.185638428,322.324584961,289.330444336,212.707504272,384.38671875,348.877929688,292.911376953,251.412536621,260.861846924,361.033447266,274.5483662
8,245.850723267,287.141723633,250.494110107,289.264923096,240.116088867,225.530883789,265.810882568,240.277770996,284.781951904,274.310668945,236.689066107
9,281.983184814,292.751190186,277.71105957,274.800415039,214.91595459,378.751403809,344.725738525,355.722320557,331.130859375,278.033294678,275.502311013
10,376.981750488,297.824462891,207.661392212,291.312652588,345.212158203,205.520080566,435.017242432,404.177490234,305.87097168,247.548934937,283.375194203
11,338.695373535,288.024719238,263.494750977,325.245239258,223.680923462,316.358062744,249.075363159,304.416656494,233.418777466,262.276275635,254.971467452
12,337.803009033,287.676300049,306.71472168,308.380493164,212.918533325,350.944885254,282.966766357,268.836090088,242.166488647,329.612030029,266.18357433
13,278.432922363,274.994140625,340.1769104,286.313781738,367.36819458,263.53338623,337.743469238,281.855438232,323.320526123,261.670318604,274.128098921
14,242.174758911,272.922637939,263.579040527,248.858901978,315.472564697,220.345214844,346.678894043,269.184570312,295.486999512,266.883422852,249.235182329
15,342.22064209,228.132247925,213.977981567,325.542938232,270.668945312,249.528045654,257.364990234,322.936676025,260.00579834,252.301498413,247.516342163
16,228.34942627,322.834381104,238.75579834,239.490402222,251.782974243,355.859466553,297.330291748,207.856964111,206.781768799,224.260696411,233.936560891
17,371.50592041,245.742950439,261.031311035,350.114501953,249.273452759,330.474365234,331.601348877,337.982696533,274.601806641,251.193603516,273.047450672
18,354.245788574,238.600952148,289.454193115,246.602844238,228.666397095,200.640655518,235.590484619,239.248413086,239.375396729,222.900588989,226.847792192
19,305.725708008,261.57220459,246.1509552,302.295471191,317.709442139,380.443115234,205.368286133,272.540802002,219.299850464,287.489349365,254.41774403
20,343.172271729,225.522567749,289.264678955,279.051757812,338.550720215,290.91696167,214.926040649,233.679031372,358.908874512,283.496154785,259.771732677
21,256.194152832,260.283325195,300.263000488,264.709075928,212.016921997,365.731262207,205.725646973,323.47052002,361.383789062,276.933837891,256.97377569
